R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,predictions
598,517.0,43.0,0.26657824933687,0.3757736516357206,0.0,1134.0,50.0,19.0,0
611,696.0,23.0,0.2618217054263566,0.40852713178294575,0.0,0.0,0.0,0.0,0
934,629.0,126.0,0.30338733431516934,0.4096097201767305,0.0,914.0,219.0,234.0,1
715,797.0,47.0,0.26771803154094626,0.43150294508835263,105.0,0.0,1249.0,0.0,0
813,993.0,188.0,0.26316704328176604,0.47123240048670256,0.0,1.0,1.0,0.0,0
515,656.0,17.0,0.2726777444837919,0.4734404794333969,104.0,0.0,459.0,0.0,0
570,621.0,44.0,0.3419298753984352,0.4879745001448855,0.0,203.0,44.0,0.0,0
550,591.0,20.0,0.2616965456930477,0.4164844774814167,1243.0,0.0,0.0,0.0,0
775,781.0,55.0,0.29398000425441395,0.49819187406934695,0.0,0.0,0.0,0.0,0
1113,935.0,112.0,0.3070929070929071,0.5678321678321678,0.0,1.0,1.0,7.0,1
718,502.0,166.0,0.2748986990829601,0.3550863723608445,0.0,1238.0,1.0,1.0,0
492,425.0,73.0,0.2749210645015787,0.36039693279206136,0.0,1030.0,6.0,53.0,0
704,861.0,139.0,0.30067001675041877,0.5012562814070352,0.0,0.0,1.0,0.0,0
569,274.0,119.0,0.309377307408319,0.38247600295348266,0.0,0.0,0.0,0.0,0
554,514.0,19.0,0.28065241844769406,0.4282902137232846,0.0,0.0,0.0,0.0,0
619,691.0,24.0,0.2674747474747475,0.43696969696969695,0.0,1.0,937.0,1.0,0
535,544.0,16.0,0.2705464238116393,0.406486006219458,0.0,1.0,1161.0,1.0,0
780,633.0,128.0,0.2840552995391705,0.4250691244239631,0.0,0.0,0.0,1359.0,0
1058,504.0,794.0,0.29199277543648405,0.4326710816777042,0.0,0.0,0.0,0.0,1
682,911.0,2.0,0.25741710296684117,0.49105584642233857,0.0,2.0,5.0,0.0,0
845,881.0,57.0,0.30183881064162754,0.49726134585289516,0.0,0.0,0.0,0.0,0
1006,537.0,502.0,0.2915927061481362,0.4318218492819106,0.0,0.0,0.0,0.0,0
639,621.0,202.0,0.26221434200157606,0.39164696611505123,0.0,936.0,520.0,32.0,0
654,645.0,23.0,0.31513390076811293,0.4183101515466058,0.0,4.0,439.0,710.0,0
734,532.0,196.0,0.2612436448963629,0.3959718420023465,0.0,0.0,0.0,0.0,0
661,394.0,58.0,0.3124548301614069,0.4148397976391231,0.0,0.0,0.0,0.0,0
710,693.0,53.0,0.2903373881110856,0.45880192793206337,0.0,0.0,0.0,0.0,0
1095,1213.0,60.0,0.33879781420765026,0.6397490386561425,50.0,0.0,119.0,1.0,1
503,506.0,134.0,0.2713900465800441,0.41676881588624665,0.0,0.0,0.0,0.0,0
738,833.0,26.0,0.272390364422483,0.471278567016677,0.0,0.0,0.0,0.0,0
783,742.0,59.0,0.30982044705020156,0.44027116159765484,0.0,0.0,0.0,0.0,0
958,806.0,219.0,0.29732328898862,0.47074851739060747,0.0,0.0,0.0,0.0,0
1347,1295.0,90.0,0.35319767441860467,0.7369186046511628,0.0,0.0,0.0,0.0,1
542,562.0,21.0,0.24193548387096775,0.44505194095133954,837.0,0.0,0.0,0.0,0
808,510.0,45.0,0.29774658293313633,0.40857037310676025,0.0,0.0,0.0,0.0,0
781,407.0,54.0,0.2877995642701525,0.3806100217864924,0.0,19.0,363.0,811.0,0
814,975.0,132.0,0.29759342594404226,0.47603208765407945,0.0,1168.0,144.0,60.0,1
610,724.0,19.0,0.25688282138794083,0.44004550625711036,0.0,0.0,0.0,0.0,0
683,734.0,40.0,0.26084938500812255,0.46925040612671154,0.0,0.0,3.0,0.0,0
689,495.0,82.0,0.28266191853995104,0.4019586022701981,0.0,0.0,7.0,0.0,0
759,988.0,18.0,0.27590198726606213,0.4863978390893305,0.0,0.0,0.0,0.0,0
613,629.0,126.0,0.28578961244397577,0.49960453466912735,0.0,0.0,0.0,0.0,0
668,706.0,42.0,0.2864906832298137,0.4297360248447205,0.0,49.0,1298.0,0.0,0
798,723.0,148.0,0.2876480541455161,0.4463244970859184,0.0,0.0,0.0,0.0,0
697,576.0,45.0,0.2760906757912746,0.40975192472198463,0.0,599.0,508.0,284.0,0
577,585.0,144.0,0.2696328713834184,0.41453926574276684,0.0,0.0,213.0,0.0,0
539,573.0,36.0,0.27371342078708377,0.4445005045408678,0.0,0.0,0.0,0.0,0
727,800.0,217.0,0.2643653516295026,0.49313893653516294,0.0,0.0,0.0,0.0,0
629,352.0,249.0,0.25843411839592617,0.34182049649904517,0.0,1315.0,0.0,0.0,0
787,889.0,45.0,0.28270676691729324,0.5149301825993555,0.0,0.0,0.0,0.0,0
468,510.0,48.0,0.24630690382876091,0.45764244799517634,0.0,0.0,1.0,0.0,0
606,738.0,15.0,0.26113943693194414,0.4460208379516737,0.0,0.0,0.0,0.0,0
895,1046.0,21.0,0.2896513962401898,0.4739916043073554,0.0,0.0,93.0,1273.0,1
347,424.0,10.0,0.24038191519236168,0.35523729289525413,1075.0,0.0,0.0,0.0,0
557,447.0,50.0,0.29420432220039294,0.38285854616895876,0.0,2.0,897.0,4.0,0
659,528.0,98.0,0.2770605759682224,0.4044190665342602,0.0,56.0,3.0,3.0,0
773,621.0,58.0,0.27592669720949603,0.4358600583090379,0.0,2.0,367.0,9.0,0
821,395.0,261.0,0.2687392714094984,0.35742895288956705,0.0,0.0,0.0,0.0,0
731,482.0,108.0,0.2653061224489796,0.36885069817400645,0.0,631.0,297.0,254.0,0
661,704.0,31.0,0.2770592239618788,0.4964828681642841,0.0,0.0,0.0,0.0,0
902,1133.0,88.0,0.2969076076645798,0.5744640485676342,0.0,0.0,0.0,0.0,1
714,772.0,38.0,0.27387387387387385,0.4990990990990991,0.0,0.0,0.0,0.0,0
892,1070.0,47.0,0.32500484214603914,0.536509781134999,0.0,1.0,0.0,0.0,1
773,921.0,65.0,0.2826281021246206,0.47759328691305125,0.0,1.0,8.0,0.0,0
709,547.0,147.0,0.29526813880126185,0.41661409043112513,0.0,0.0,0.0,0.0,0
714,658.0,60.0,0.29964127453049166,0.4365899978898502,0.0,29.0,1287.0,2.0,0
1009,806.0,364.0,0.2713667508113956,0.47980526505589616,0.0,0.0,0.0,0.0,0
644,466.0,96.0,0.24439150287869763,0.3698630136986301,0.0,53.0,65.0,1221.0,0
744,373.0,272.0,0.2867417885399185,0.4224406617118197,0.0,0.0,0.0,0.0,0
473,390.0,49.0,0.2536434108527132,0.4186046511627907,0.0,0.0,0.0,0.0,0
996,668.0,505.0,0.32910906298003073,0.4274193548387097,0.0,1403.0,0.0,29.0,1
538,640.0,16.0,0.3071621954221019,0.4715727295102141,17.0,0.0,1.0,0.0,0
582,463.0,40.0,0.30106508875739646,0.40828402366863903,0.0,589.0,171.0,315.0,0
777,762.0,81.0,0.25675675675675674,0.47740709459459457,0.0,0.0,0.0,0.0,0
624,520.0,19.0,0.2701547231270358,0.38456840390879476,0.0,0.0,0.0,1328.0,0
1046,618.0,100.0,0.297853468156821,0.4190172077346106,0.0,0.0,0.0,0.0,0
659,733.0,19.0,0.27791814047498736,0.5373926225366347,0.0,0.0,0.0,0.0,0
438,340.0,38.0,0.23926940639269406,0.3409436834094368,0.0,195.0,792.0,32.0,0
806,859.0,95.0,0.24537426408746846,0.4802354920100925,0.0,0.0,0.0,0.0,0
872,699.0,268.0,0.3243100720689049,0.4296009843557743,0.0,0.0,0.0,0.0,1
805,546.0,234.0,0.275105809926895,0.4193920738745671,0.0,0.0,0.0,0.0,0
707,607.0,30.0,0.2720541569705945,0.39242648614343134,0.0,0.0,0.0,0.0,0
712,839.0,20.0,0.2642457021440989,0.44562487927371064,0.0,0.0,1457.0,0.0,0
784,977.0,30.0,0.2978252114377769,0.5328231977446637,0.0,0.0,0.0,0.0,0
811,425.0,442.0,0.2609043617446979,0.37975190076030413,0.0,1264.0,1.0,16.0,0
760,946.0,68.0,0.2992861998640381,0.4770564242012237,0.0,0.0,0.0,0.0,0
715,836.0,68.0,0.30495269894268223,0.46967167501391205,0.0,0.0,164.0,0.0,0
868,910.0,55.0,0.2859094457455113,0.5304449648711944,0.0,0.0,0.0,0.0,0
491,538.0,17.0,0.2473404255319149,0.39990328820116056,0.0,92.0,1228.0,5.0,0
540,587.0,30.0,0.2626328345261332,0.4068531771849924,0.0,1180.0,9.0,41.0,0
722,547.0,89.0,0.26876778288465747,0.44539286495950975,0.0,0.0,0.0,0.0,0
843,857.0,70.0,0.32012250045036933,0.425508917312196,0.0,15.0,268.0,1194.0,1
860,485.0,65.0,0.29783896828163126,0.37748344370860926,0.0,1423.0,0.0,0.0,0
575,489.0,171.0,0.2866464693544628,0.38941971568398975,0.0,0.0,0.0,0.0,0
808,912.0,14.0,0.311134789557805,0.4832179009057006,0.0,1.0,3.0,0.0,0
602,531.0,225.0,0.2785097682871422,0.41276692412539756,0.0,0.0,0.0,0.0,0
816,937.0,27.0,0.28137150936726757,0.4782608695652174,0.0,0.0,1526.0,16.0,0
506,521.0,106.0,0.2798258345428157,0.4798258345428157,0.0,0.0,0.0,0.0,0
728,722.0,248.0,0.2645962732919255,0.43561076604554866,0.0,0.0,0.0,0.0,0
639,697.0,34.0,0.27191166321601107,0.4688290775247297,0.0,0.0,0.0,1.0,0
631,683.0,65.0,0.2999775633834418,0.4509759928202827,0.0,1.0,33.0,1163.0,0
1045,1275.0,70.0,0.35490753911806544,0.5778805120910384,0.0,0.0,0.0,0.0,1
730,621.0,42.0,0.2872628726287263,0.4196928635953026,0.0,127.0,59.0,8.0,0
577,598.0,14.0,0.2750477099236641,0.4255725190839695,0.0,0.0,0.0,0.0,0
601,448.0,137.0,0.24792176039119804,0.37579462102689487,0.0,0.0,0.0,0.0,0
787,388.0,111.0,0.304575986565911,0.3895885810243493,0.0,0.0,0.0,0.0,0
870,537.0,215.0,0.2712574850299401,0.39201596806387223,0.0,3.0,1142.0,93.0,0
864,474.0,52.0,0.2565993788819876,0.3730590062111801,0.0,0.0,1394.0,0.0,0
496,554.0,21.0,0.25709939148073024,0.42266734279918866,1135.0,0.0,0.0,0.0,0
455,561.0,6.0,0.24503836993913733,0.43344800211696216,1137.0,0.0,0.0,0.0,0
754,848.0,37.0,0.27059283897476033,0.4689884562707885,0.0,9.0,164.0,0.0,0
700,821.0,79.0,0.2550009010632546,0.43106866102000363,0.0,1.0,1455.0,13.0,0
855,918.0,85.0,0.27027533245926205,0.46806518074545794,0.0,1414.0,0.0,2.0,0
682,772.0,53.0,0.2910550458715596,0.5006880733944954,0.0,0.0,0.0,0.0,0
874,545.0,268.0,0.28800940438871475,0.42554858934169276,427.0,895.0,0.0,0.0,1
569,541.0,117.0,0.29669200739675367,0.4051777275529073,0.0,0.0,0.0,0.0,0
449,389.0,48.0,0.28310263776442934,0.4071559153826064,0.0,0.0,0.0,0.0,0
796,723.0,36.0,0.3061432058584215,0.4471114727420667,0.0,0.0,0.0,0.0,0
634,535.0,64.0,0.2897830018083183,0.4385171790235081,0.0,1003.0,63.0,1.0,0
618,532.0,35.0,0.35275689223057644,0.5388471177944862,0.0,0.0,0.0,0.0,0
546,512.0,41.0,0.2753046505844317,0.41755782143745335,0.0,0.0,0.0,0.0,0
537,502.0,114.0,0.28567870485678704,0.4154420921544209,0.0,0.0,0.0,0.0,0
719,935.0,27.0,0.27079964061096135,0.4736747529200359,0.0,0.0,0.0,0.0,0
466,361.0,86.0,0.2979373567608862,0.45110771581359815,0.0,0.0,59.0,5.0,0
823,599.0,381.0,0.27690359920419605,0.4112859468258275,0.0,0.0,0.0,0.0,0
1032,992.0,55.0,0.283205268935236,0.5472008781558727,0.0,0.0,1461.0,0.0,1
694,516.0,68.0,0.29328621908127206,0.3957597173144876,0.0,1.0,2.0,0.0,0
561,750.0,15.0,0.2658164541135284,0.4881220305076269,0.0,0.0,0.0,0.0,0
992,586.0,85.0,0.308655853541031,0.43584390557250685,0.0,627.0,16.0,0.0,0
537,568.0,55.0,0.2895538930451649,0.44139650872817954,0.0,508.0,424.0,0.0,0
671,634.0,35.0,0.2834480122324159,0.40462538226299694,0.0,0.0,1206.0,37.0,0
538,538.0,104.0,0.28431996605134735,0.38234670061531933,0.0,41.0,18.0,0.0,0
938,1058.0,134.0,0.32845914823615424,0.526411990495339,0.0,0.0,0.0,0.0,1
567,681.0,37.0,0.25735294117647056,0.4346638655462185,0.0,0.0,0.0,0.0,0
1024,1041.0,67.0,0.34007247758916653,0.5857333587640664,0.0,0.0,0.0,0.0,1
782,513.0,160.0,0.27403737896870073,0.378518351722585,0.0,4.0,85.0,1082.0,0
766,778.0,56.0,0.25401129943502826,0.5001129943502824,0.0,0.0,1182.0,18.0,0
605,689.0,10.0,0.25379426644182124,0.43381112984822934,0.0,0.0,541.0,772.0,0
670,423.0,244.0,0.29446185997910135,0.39958202716823404,0.0,0.0,0.0,0.0,0
700,582.0,91.0,0.26839092643629425,0.42484630061479756,0.0,1200.0,10.0,133.0,0
414,509.0,17.0,0.2573814494482553,0.43483447658813,985.0,0.0,0.0,0.0,0
634,670.0,18.0,0.2825918762088975,0.42475822050290135,0.0,24.0,1374.0,5.0,0
792,761.0,100.0,0.28465875947890334,0.4785144857087303,0.0,6.0,15.0,0.0,0
598,498.0,64.0,0.2649374710514127,0.3967114404817045,0.0,1.0,1199.0,1.0,0
360,393.0,13.0,0.2882758620689655,0.4189655172413793,776.0,0.0,0.0,0.0,0
660,883.0,45.0,0.2975881261595547,0.4217068645640074,0.0,109.0,1281.0,2.0,0
593,746.0,35.0,0.288560411311054,0.455012853470437,0.0,0.0,65.0,0.0,0
607,368.0,173.0,0.3023663453111306,0.42886356996786446,0.0,1.0,5.0,1.0,0
660,858.0,27.0,0.2792075163398693,0.4889705882352941,0.0,0.0,0.0,0.0,0
487,581.0,79.0,0.25164864151938804,0.4178317066737009,0.0,1.0,1.0,1.0,0
920,904.0,145.0,0.27820654171260567,0.5014700477765527,48.0,0.0,0.0,0.0,0
725,789.0,50.0,0.2901077375122429,0.4472086190009794,0.0,0.0,0.0,0.0,0
625,424.0,123.0,0.2580777937847294,0.361185429100638,0.0,1330.0,0.0,4.0,0
851,596.0,262.0,0.26158940397350994,0.4177704194260486,0.0,0.0,0.0,0.0,0
553,425.0,167.0,0.25703125,0.415625,0.0,0.0,0.0,0.0,0
862,386.0,521.0,0.2948156261409273,0.3893756845564075,0.0,0.0,0.0,0.0,0
555,603.0,89.0,0.2896135265700483,0.45507246376811594,0.0,1.0,21.0,0.0,0
803,534.0,180.0,0.2980490631639946,0.4334556693065482,0.0,0.0,0.0,0.0,0
655,643.0,112.0,0.2809153894604241,0.43103086290153264,0.0,0.0,0.0,0.0,0
474,454.0,38.0,0.27264409881061297,0.45166209210125036,0.0,0.0,0.0,0.0,0
872,677.0,126.0,0.30874492195852044,0.4697455633953389,0.0,776.0,7.0,0.0,0
1146,1077.0,66.0,0.3225145199863341,0.5421933720532969,0.0,0.0,0.0,0.0,1
337,375.0,22.0,0.26117969821673526,0.3585733882030178,1161.0,0.0,0.0,0.0,0
521,555.0,79.0,0.27598276790522347,0.4674205708131395,0.0,0.0,0.0,0.0,0
787,770.0,211.0,0.25647936968691687,0.4725274725274725,0.0,122.0,75.0,0.0,0
717,603.0,294.0,0.29797882579403273,0.40712223291626565,0.0,0.0,0.0,1.0,0
749,775.0,100.0,0.2817733990147783,0.4604926108374384,0.0,0.0,0.0,0.0,0
592,624.0,125.0,0.2754942767950052,0.4562955254942768,0.0,0.0,0.0,0.0,0
893,653.0,322.0,0.3038461538461538,0.4399267399267399,0.0,1381.0,0.0,5.0,1
609,760.0,22.0,0.2616663115278074,0.46281696143191986,1154.0,0.0,0.0,0.0,0
601,779.0,112.0,0.2855782053724519,0.3871213564488474,0.0,0.0,1.0,0.0,0
668,615.0,20.0,0.2785571142284569,0.45023380093520377,0.0,2.0,1034.0,0.0,0
713,744.0,133.0,0.3185419968304279,0.49309486076522524,0.0,0.0,0.0,0.0,0
